"name","province","date","value"
"icu","AB",2020-01-25,0
"icu","AB",2020-01-26,0
"icu","AB",2020-01-27,0
"icu","AB",2020-01-28,0
"icu","AB",2020-01-29,0
"icu","AB",2020-01-30,0
"icu","AB",2020-01-31,0
"icu","AB",2020-02-01,0
"icu","AB",2020-02-02,0
"icu","AB",2020-02-03,0
"icu","AB",2020-02-04,0
"icu","AB",2020-02-05,0
"icu","AB",2020-02-06,0
"icu","AB",2020-02-07,0
"icu","AB",2020-02-08,0
"icu","AB",2020-02-09,0
"icu","AB",2020-02-10,0
"icu","AB",2020-02-11,0
"icu","AB",2020-02-12,0
"icu","AB",2020-02-13,0
"icu","AB",2020-02-14,0
"icu","AB",2020-02-15,0
"icu","AB",2020-02-16,0
"icu","AB",2020-02-17,0
"icu","AB",2020-02-18,0
"icu","AB",2020-02-19,0
"icu","AB",2020-02-20,0
"icu","AB",2020-02-21,0
"icu","AB",2020-02-22,0
"icu","AB",2020-02-23,0
"icu","AB",2020-02-24,0
"icu","AB",2020-02-25,0
"icu","AB",2020-02-26,0
"icu","AB",2020-02-27,0
"icu","AB",2020-02-28,0
"icu","AB",2020-02-29,0
"icu","AB",2020-03-01,0
"icu","AB",2020-03-02,0
"icu","AB",2020-03-03,0
"icu","AB",2020-03-04,0
"icu","AB",2020-03-05,0
"icu","AB",2020-03-06,0
"icu","AB",2020-03-07,0
"icu","AB",2020-03-08,0
"icu","AB",2020-03-09,0
"icu","AB",2020-03-10,0
"icu","AB",2020-03-11,0
"icu","AB",2020-03-12,0
"icu","AB",2020-03-13,1
"icu","AB",2020-03-14,2
"icu","AB",2020-03-15,2
"icu","AB",2020-03-16,2
"icu","AB",2020-03-17,2
"icu","AB",2020-03-18,3
"icu","AB",2020-03-19,3
"icu","AB",2020-03-20,8
"icu","AB",2020-03-21,9
"icu","AB",2020-03-22,10
"icu","AB",2020-03-23,10
"icu","AB",2020-03-24,10
"icu","AB",2020-03-25,11
"icu","AB",2020-03-26,11
"icu","AB",2020-03-27,11
"icu","AB",2020-03-28,13
"icu","AB",2020-03-29,14
"icu","AB",2020-03-30,15
"icu","AB",2020-03-31,17
"icu","AB",2020-04-01,18
"icu","AB",2020-04-02,20
"icu","AB",2020-04-03,20
"icu","AB",2020-04-04,19
"icu","AB",2020-04-05,20
"icu","AB",2020-04-06,20
"icu","AB",2020-04-07,18
"icu","AB",2020-04-08,16
"icu","AB",2020-04-09,16
"icu","AB",2020-04-10,15
"icu","AB",2020-04-11,15
"icu","AB",2020-04-12,15
"icu","AB",2020-04-13,15
"icu","AB",2020-04-14,14
"icu","AB",2020-04-15,15
"icu","AB",2020-04-16,13
"icu","AB",2020-04-17,14
"icu","AB",2020-04-18,14
"icu","AB",2020-04-19,16
"icu","AB",2020-04-20,19
"icu","AB",2020-04-21,18
"icu","AB",2020-04-22,20
"icu","AB",2020-04-23,19
"icu","AB",2020-04-24,18
"icu","AB",2020-04-25,21
"icu","AB",2020-04-26,19
"icu","AB",2020-04-27,20
"icu","AB",2020-04-28,19
"icu","AB",2020-04-29,22
"icu","AB",2020-04-30,21
"icu","AB",2020-05-01,21
"icu","AB",2020-05-02,23
"icu","AB",2020-05-03,19
"icu","AB",2020-05-04,21
"icu","AB",2020-05-05,21
"icu","AB",2020-05-06,21
"icu","AB",2020-05-07,20
"icu","AB",2020-05-08,19
"icu","AB",2020-05-09,17
"icu","AB",2020-05-10,16
"icu","AB",2020-05-11,14
"icu","AB",2020-05-12,13
"icu","AB",2020-05-13,12
"icu","AB",2020-05-14,10
"icu","AB",2020-05-15,10
"icu","AB",2020-05-16,9
"icu","AB",2020-05-17,8
"icu","AB",2020-05-18,9
"icu","AB",2020-05-19,9
"icu","AB",2020-05-20,8
"icu","AB",2020-05-21,7
"icu","AB",2020-05-22,6
"icu","AB",2020-05-23,7
"icu","AB",2020-05-24,7
"icu","AB",2020-05-25,6
"icu","AB",2020-05-26,5
"icu","AB",2020-05-27,5
"icu","AB",2020-05-28,4
"icu","AB",2020-05-29,4
"icu","AB",2020-05-30,5
"icu","AB",2020-05-31,6
"icu","AB",2020-06-01,6
"icu","AB",2020-06-02,6
"icu","AB",2020-06-03,6
"icu","AB",2020-06-04,6
"icu","AB",2020-06-05,7
"icu","AB",2020-06-06,7
"icu","AB",2020-06-07,7
"icu","AB",2020-06-08,7
"icu","AB",2020-06-09,7
"icu","AB",2020-06-10,8
"icu","AB",2020-06-11,7
"icu","AB",2020-06-12,7
"icu","AB",2020-06-13,8
"icu","AB",2020-06-14,8
"icu","AB",2020-06-15,9
"icu","AB",2020-06-16,9
"icu","AB",2020-06-17,10
"icu","AB",2020-06-18,9
"icu","AB",2020-06-19,7
"icu","AB",2020-06-20,7
"icu","AB",2020-06-21,7
"icu","AB",2020-06-22,6
"icu","AB",2020-06-23,6
"icu","AB",2020-06-24,7
"icu","AB",2020-06-25,8
"icu","AB",2020-06-26,9
"icu","AB",2020-06-27,9
"icu","AB",2020-06-28,9
"icu","AB",2020-06-29,10
"icu","AB",2020-06-30,10
"icu","AB",2020-07-01,9
"icu","AB",2020-07-02,9
"icu","AB",2020-07-03,10
"icu","AB",2020-07-04,9
"icu","AB",2020-07-05,8
"icu","AB",2020-07-06,6
"icu","AB",2020-07-07,6
"icu","AB",2020-07-08,7
"icu","AB",2020-07-09,7
"icu","AB",2020-07-10,9
"icu","AB",2020-07-11,8
"icu","AB",2020-07-12,11
"icu","AB",2020-07-13,13
"icu","AB",2020-07-14,13
"icu","AB",2020-07-15,7
"icu","AB",2020-07-16,9
"icu","AB",2020-07-17,16
"icu","AB",2020-07-18,16
"icu","AB",2020-07-19,15
"icu","AB",2020-07-20,17
"icu","AB",2020-07-21,16
"icu","AB",2020-07-22,18
"icu","AB",2020-07-23,21
"icu","AB",2020-07-24,19
"icu","AB",2020-07-25,16
"icu","AB",2020-07-26,16
"icu","AB",2020-07-27,17
"icu","AB",2020-07-28,16
"icu","AB",2020-07-29,17
"icu","AB",2020-07-30,18
"icu","AB",2020-07-31,17
"icu","AB",2020-08-01,16
"icu","AB",2020-08-02,18
"icu","AB",2020-08-03,18
"icu","AB",2020-08-04,23
"icu","AB",2020-08-05,20
"icu","AB",2020-08-06,19
"icu","AB",2020-08-07,18
"icu","AB",2020-08-08,17
"icu","AB",2020-08-09,17
"icu","AB",2020-08-10,14
"icu","AB",2020-08-11,14
"icu","AB",2020-08-12,13
"icu","AB",2020-08-13,12
"icu","AB",2020-08-14,13
"icu","AB",2020-08-15,13
"icu","AB",2020-08-16,13
"icu","AB",2020-08-17,10
"icu","AB",2020-08-18,11
"icu","AB",2020-08-19,12
"icu","AB",2020-08-20,12
"icu","AB",2020-08-21,9
"icu","AB",2020-08-22,9
"icu","AB",2020-08-23,9
"icu","AB",2020-08-24,9
"icu","AB",2020-08-25,7
"icu","AB",2020-08-26,7
"icu","AB",2020-08-27,7
"icu","AB",2020-08-28,7
"icu","AB",2020-08-29,7
"icu","AB",2020-08-30,7
"icu","AB",2020-08-31,8
"icu","AB",2020-09-01,10
"icu","AB",2020-09-02,9
"icu","AB",2020-09-03,9
"icu","AB",2020-09-04,9
"icu","AB",2020-09-05,9
"icu","AB",2020-09-06,9
"icu","AB",2020-09-07,9
"icu","AB",2020-09-08,10
"icu","AB",2020-09-09,7
"icu","AB",2020-09-10,7
"icu","AB",2020-09-11,6
"icu","AB",2020-09-12,6
"icu","AB",2020-09-13,6
"icu","AB",2020-09-14,7
"icu","AB",2020-09-15,7
"icu","AB",2020-09-16,6
"icu","AB",2020-09-17,8
"icu","AB",2020-09-18,7
"icu","AB",2020-09-19,7
"icu","AB",2020-09-20,7
"icu","AB",2020-09-21,9
"icu","AB",2020-09-22,9
"icu","AB",2020-09-23,13
"icu","AB",2020-09-24,14
"icu","AB",2020-09-25,14
"icu","AB",2020-09-26,14
"icu","AB",2020-09-27,14
"icu","AB",2020-09-28,15
"icu","AB",2020-09-29,13
"icu","AB",2020-09-30,13
"icu","AB",2020-10-01,12
"icu","AB",2020-10-02,15
"icu","AB",2020-10-03,15
"icu","AB",2020-10-04,15
"icu","AB",2020-10-05,14
"icu","AB",2020-10-06,13
"icu","AB",2020-10-07,13
"icu","AB",2020-10-08,13
"icu","AB",2020-10-09,11
"icu","AB",2020-10-10,11
"icu","AB",2020-10-11,11
"icu","AB",2020-10-12,11
"icu","AB",2020-10-13,13
"icu","AB",2020-10-14,14
"icu","AB",2020-10-15,16
"icu","AB",2020-10-16,11
"icu","AB",2020-10-17,11
"icu","AB",2020-10-18,11
"icu","AB",2020-10-19,18
"icu","AB",2020-10-20,16
"icu","AB",2020-10-21,16
"icu","AB",2020-10-22,18
"icu","AB",2020-10-23,14
"icu","AB",2020-10-24,14
"icu","AB",2020-10-25,14
"icu","AB",2020-10-26,16
"icu","AB",2020-10-27,16
"icu","AB",2020-10-28,19
"icu","AB",2020-10-29,18
"icu","AB",2020-10-30,25
"icu","AB",2020-10-31,25
"icu","AB",2020-11-01,25
"icu","AB",2020-11-02,25
"icu","AB",2020-11-03,27
"icu","AB",2020-11-04,30
"icu","AB",2020-11-05,30
"icu","AB",2020-11-06,33
"icu","AB",2020-11-07,33
"icu","AB",2020-11-08,33
"icu","AB",2020-11-09,39
"icu","AB",2020-11-10,43
"icu","AB",2020-11-11,46
"icu","AB",2020-11-12,51
"icu","AB",2020-11-13,54
"icu","AB",2020-11-14,54
"icu","AB",2020-11-15,58
"icu","AB",2020-11-16,57
"icu","AB",2020-11-17,57
"icu","AB",2020-11-18,57
"icu","AB",2020-11-19,61
"icu","AB",2020-11-20,58
"icu","AB",2020-11-21,56
"icu","AB",2020-11-22,60
"icu","AB",2020-11-23,62
"icu","AB",2020-11-24,66
"icu","AB",2020-11-25,71
"icu","AB",2020-11-26,84
"icu","AB",2020-11-27,86
"icu","AB",2020-11-28,88
"icu","AB",2020-11-29,95
"icu","AB",2020-11-30,96
"icu","AB",2020-12-01,97
"icu","AB",2020-12-02,97
"icu","AB",2020-12-03,97
"icu","AB",2020-12-04,99
"icu","AB",2020-12-05,101
"icu","AB",2020-12-06,100
"icu","AB",2020-12-07,108
"icu","AB",2020-12-08,112
"icu","AB",2020-12-09,121
"icu","AB",2020-12-10,124
"icu","AB",2020-12-11,123
"icu","AB",2020-12-12,128
"icu","AB",2020-12-13,136
"icu","AB",2020-12-14,136
"icu","AB",2020-12-15,137
"icu","AB",2020-12-16,139
"icu","AB",2020-12-17,138
"icu","AB",2020-12-18,141
"icu","AB",2020-12-19,151
"icu","AB",2020-12-20,149
"icu","AB",2020-12-21,151
"icu","AB",2020-12-22,152
"icu","AB",2020-12-23,146
"icu","AB",2020-12-24,146
"icu","AB",2020-12-25,146
"icu","AB",2020-12-26,146
"icu","AB",2020-12-27,146
"icu","AB",2020-12-28,148
"icu","AB",2020-12-29,153
"icu","AB",2020-12-30,152
"icu","AB",2020-12-31,152
"icu","AB",2021-01-01,152
"icu","AB",2021-01-02,152
"icu","AB",2021-01-03,152
"icu","AB",2021-01-04,136
"icu","AB",2021-01-05,140
"icu","AB",2021-01-06,141
"icu","AB",2021-01-07,139
"icu","AB",2021-01-08,135
"icu","AB",2021-01-09,132
"icu","AB",2021-01-10,128
"icu","AB",2021-01-11,130
"icu","AB",2021-01-12,132
"icu","AB",2021-01-13,137
"icu","AB",2021-01-14,136
"icu","AB",2021-01-15,124
"icu","AB",2021-01-16,122
"icu","AB",2021-01-17,123
"icu","AB",2021-01-18,120
"icu","AB",2021-01-19,119
"icu","AB",2021-01-20,124
"icu","AB",2021-01-21,119
"icu","AB",2021-01-22,115
"icu","AB",2021-01-23,114
"icu","AB",2021-01-24,111
"icu","AB",2021-01-25,113
"icu","AB",2021-01-26,108
"icu","AB",2021-01-27,110
"icu","AB",2021-01-28,112
"icu","AB",2021-01-29,110
"icu","AB",2021-01-30,103
"icu","AB",2021-01-31,101
"icu","BC",2020-01-25,0
"icu","BC",2020-01-26,0
"icu","BC",2020-01-27,0
"icu","BC",2020-01-28,0
"icu","BC",2020-01-29,0
"icu","BC",2020-01-30,0
"icu","BC",2020-01-31,0
"icu","BC",2020-02-01,0
"icu","BC",2020-02-02,0
"icu","BC",2020-02-03,0
"icu","BC",2020-02-04,0
"icu","BC",2020-02-05,0
"icu","BC",2020-02-06,0
"icu","BC",2020-02-07,0
"icu","BC",2020-02-08,0
"icu","BC",2020-02-09,0
"icu","BC",2020-02-10,0
"icu","BC",2020-02-11,0
"icu","BC",2020-02-12,0
"icu","BC",2020-02-13,0
"icu","BC",2020-02-14,0
"icu","BC",2020-02-15,0
"icu","BC",2020-02-16,0
"icu","BC",2020-02-17,0
"icu","BC",2020-02-18,0
"icu","BC",2020-02-19,0
"icu","BC",2020-02-20,0
"icu","BC",2020-02-21,0
"icu","BC",2020-02-22,0
"icu","BC",2020-02-23,0
"icu","BC",2020-02-24,0
"icu","BC",2020-02-25,0
"icu","BC",2020-02-26,0
"icu","BC",2020-02-27,0
"icu","BC",2020-02-28,0
"icu","BC",2020-02-29,0
"icu","BC",2020-03-01,0
"icu","BC",2020-03-02,0
"icu","BC",2020-03-03,0
"icu","BC",2020-03-04,0
"icu","BC",2020-03-05,0
"icu","BC",2020-03-06,0
"icu","BC",2020-03-07,0
"icu","BC",2020-03-08,0
"icu","BC",2020-03-09,0
"icu","BC",2020-03-10,0
"icu","BC",2020-03-11,0
"icu","BC",2020-03-12,0
"icu","BC",2020-03-13,0
"icu","BC",2020-03-14,0
"icu","BC",2020-03-15,0
"icu","BC",2020-03-16,0
"icu","BC",2020-03-17,4
"icu","BC",2020-03-18,7
"icu","BC",2020-03-19,9
"icu","BC",2020-03-20,10
"icu","BC",2020-03-21,12
"icu","BC",2020-03-22,12
"icu","BC",2020-03-23,14
"icu","BC",2020-03-24,23
"icu","BC",2020-03-25,26
"icu","BC",2020-03-26,26
"icu","BC",2020-03-27,26
"icu","BC",2020-03-28,52
"icu","BC",2020-03-29,52
"icu","BC",2020-03-30,60
"icu","BC",2020-03-31,61
"icu","BC",2020-04-01,67
"icu","BC",2020-04-02,68
"icu","BC",2020-04-03,64
"icu","BC",2020-04-04,68
"icu","BC",2020-04-05,68
"icu","BC",2020-04-06,72
"icu","BC",2020-04-07,66
"icu","BC",2020-04-08,61
"icu","BC",2020-04-09,68
"icu","BC",2020-04-10,65
"icu","BC",2020-04-11,63
"icu","BC",2020-04-12,63
"icu","BC",2020-04-13,58
"icu","BC",2020-04-14,58
"icu","BC",2020-04-15,59
"icu","BC",2020-04-16,56
"icu","BC",2020-04-17,52
"icu","BC",2020-04-18,54
"icu","BC",2020-04-19,54
"icu","BC",2020-04-20,49
"icu","BC",2020-04-21,51
"icu","BC",2020-04-22,46
"icu","BC",2020-04-23,44
"icu","BC",2020-04-24,41
"icu","BC",2020-04-25,41
"icu","BC",2020-04-26,41
"icu","BC",2020-04-27,36
"icu","BC",2020-04-28,37
"icu","BC",2020-04-29,35
"icu","BC",2020-04-30,30
"icu","BC",2020-05-01,24
"icu","BC",2020-05-02,23
"icu","BC",2020-05-03,23
"icu","BC",2020-05-04,20
"icu","BC",2020-05-05,21
"icu","BC",2020-05-06,19
"icu","BC",2020-05-07,20
"icu","BC",2020-05-08,20
"icu","BC",2020-05-09,21
"icu","BC",2020-05-10,21
"icu","BC",2020-05-11,18
"icu","BC",2020-05-12,16
"icu","BC",2020-05-13,14
"icu","BC",2020-05-14,12
"icu","BC",2020-05-15,12
"icu","BC",2020-05-16,11
"icu","BC",2020-05-17,11
"icu","BC",2020-05-18,12
"icu","BC",2020-05-19,12
"icu","BC",2020-05-20,10
"icu","BC",2020-05-21,8
"icu","BC",2020-05-22,8
"icu","BC",2020-05-23,8
"icu","BC",2020-05-24,8
"icu","BC",2020-05-25,7
"icu","BC",2020-05-26,7
"icu","BC",2020-05-27,7
"icu","BC",2020-05-28,6
"icu","BC",2020-05-29,6
"icu","BC",2020-05-30,5
"icu","BC",2020-05-31,5
"icu","BC",2020-06-01,5
"icu","BC",2020-06-02,8
"icu","BC",2020-06-03,7
"icu","BC",2020-06-04,6
"icu","BC",2020-06-05,5
"icu","BC",2020-06-06,5
"icu","BC",2020-06-07,5
"icu","BC",2020-06-08,4
"icu","BC",2020-06-09,4
"icu","BC",2020-06-10,4
"icu","BC",2020-06-11,5
"icu","BC",2020-06-12,3
"icu","BC",2020-06-13,3
"icu","BC",2020-06-14,3
"icu","BC",2020-06-15,4
"icu","BC",2020-06-16,5
"icu","BC",2020-06-17,5
"icu","BC",2020-06-18,5
"icu","BC",2020-06-19,6
"icu","BC",2020-06-20,6
"icu","BC",2020-06-21,6
"icu","BC",2020-06-22,6
"icu","BC",2020-06-23,7
"icu","BC",2020-06-24,7
"icu","BC",2020-06-25,7
"icu","BC",2020-06-26,5
"icu","BC",2020-06-27,5
"icu","BC",2020-06-28,5
"icu","BC",2020-06-29,5
"icu","BC",2020-06-30,4
"icu","BC",2020-07-01,4
"icu","BC",2020-07-02,2
"icu","BC",2020-07-03,2
"icu","BC",2020-07-04,2
"icu","BC",2020-07-05,2
"icu","BC",2020-07-06,4
"icu","BC",2020-07-07,4
"icu","BC",2020-07-08,3
"icu","BC",2020-07-09,4
"icu","BC",2020-07-10,5
"icu","BC",2020-07-11,5
"icu","BC",2020-07-12,5
"icu","BC",2020-07-13,5
"icu","BC",2020-07-14,5
"icu","BC",2020-07-15,5
"icu","BC",2020-07-16,3
"icu","BC",2020-07-17,2
"icu","BC",2020-07-18,2
"icu","BC",2020-07-19,2
"icu","BC",2020-07-20,4
"icu","BC",2020-07-21,3
"icu","BC",2020-07-22,3
"icu","BC",2020-07-23,3
"icu","BC",2020-07-24,3
"icu","BC",2020-07-25,3
"icu","BC",2020-07-26,3
"icu","BC",2020-07-27,3
"icu","BC",2020-07-28,3
"icu","BC",2020-07-29,2
"icu","BC",2020-07-30,2
"icu","BC",2020-07-31,2
"icu","BC",2020-08-01,2
"icu","BC",2020-08-02,2
"icu","BC",2020-08-03,2
"icu","BC",2020-08-04,4
"icu","BC",2020-08-05,6
"icu","BC",2020-08-06,5
"icu","BC",2020-08-07,4
"icu","BC",2020-08-08,4
"icu","BC",2020-08-09,4
"icu","BC",2020-08-10,3
"icu","BC",2020-08-11,5
"icu","BC",2020-08-12,5
"icu","BC",2020-08-13,4
"icu","BC",2020-08-14,4
"icu","BC",2020-08-15,4
"icu","BC",2020-08-16,4
"icu","BC",2020-08-17,3
"icu","BC",2020-08-18,3
"icu","BC",2020-08-19,4
"icu","BC",2020-08-20,4
"icu","BC",2020-08-21,5
"icu","BC",2020-08-22,5
"icu","BC",2020-08-23,5
"icu","BC",2020-08-24,5
"icu","BC",2020-08-25,7
"icu","BC",2020-08-26,7
"icu","BC",2020-08-27,7
"icu","BC",2020-08-28,7
"icu","BC",2020-08-29,7
"icu","BC",2020-08-30,7
"icu","BC",2020-08-31,10
"icu","BC",2020-09-01,10
"icu","BC",2020-09-02,14
"icu","BC",2020-09-03,11
"icu","BC",2020-09-04,12
"icu","BC",2020-09-05,12
"icu","BC",2020-09-06,12
"icu","BC",2020-09-07,12
"icu","BC",2020-09-08,12
"icu","BC",2020-09-09,15
"icu","BC",2020-09-10,14
"icu","BC",2020-09-11,10
"icu","BC",2020-09-12,10
"icu","BC",2020-09-13,10
"icu","BC",2020-09-14,16
"icu","BC",2020-09-15,20
"icu","BC",2020-09-16,23
"icu","BC",2020-09-17,22
"icu","BC",2020-09-18,20
"icu","BC",2020-09-19,20
"icu","BC",2020-09-20,20
"icu","BC",2020-09-21,21
"icu","BC",2020-09-22,22
"icu","BC",2020-09-23,18
"icu","BC",2020-09-24,20
"icu","BC",2020-09-25,19
"icu","BC",2020-09-26,19
"icu","BC",2020-09-27,19
"icu","BC",2020-09-28,22
"icu","BC",2020-09-29,20
"icu","BC",2020-09-30,21
"icu","BC",2020-10-01,19
"icu","BC",2020-10-02,16
"icu","BC",2020-10-03,16
"icu","BC",2020-10-04,16
"icu","BC",2020-10-05,16
"icu","BC",2020-10-06,16
"icu","BC",2020-10-07,15
"icu","BC",2020-10-08,17
"icu","BC",2020-10-09,19
"icu","BC",2020-10-10,19
"icu","BC",2020-10-11,19
"icu","BC",2020-10-12,19
"icu","BC",2020-10-13,24
"icu","BC",2020-10-14,24
"icu","BC",2020-10-15,24
"icu","BC",2020-10-16,26
"icu","BC",2020-10-17,26
"icu","BC",2020-10-18,26
"icu","BC",2020-10-19,19
"icu","BC",2020-10-20,18
"icu","BC",2020-10-21,21
"icu","BC",2020-10-22,24
"icu","BC",2020-10-23,24
"icu","BC",2020-10-24,24
"icu","BC",2020-10-25,24
"icu","BC",2020-10-26,26
"icu","BC",2020-10-27,27
"icu","BC",2020-10-28,25
"icu","BC",2020-10-29,24
"icu","BC",2020-10-30,25
"icu","BC",2020-10-31,25
"icu","BC",2020-11-01,25
"icu","BC",2020-11-02,19
"icu","BC",2020-11-03,22
"icu","BC",2020-11-04,25
"icu","BC",2020-11-05,24
"icu","BC",2020-11-06,28
"icu","BC",2020-11-07,31
"icu","BC",2020-11-08,31
"icu","BC",2020-11-09,43
"icu","BC",2020-11-10,46
"icu","BC",2020-11-11,46
"icu","BC",2020-11-12,44
"icu","BC",2020-11-13,50
"icu","BC",2020-11-14,50
"icu","BC",2020-11-15,50
"icu","BC",2020-11-16,57
"icu","BC",2020-11-17,63
"icu","BC",2020-11-18,58
"icu","BC",2020-11-19,59
"icu","BC",2020-11-20,57
"icu","BC",2020-11-21,57
"icu","BC",2020-11-22,57
"icu","BC",2020-11-23,59
"icu","BC",2020-11-24,61
"icu","BC",2020-11-25,61
"icu","BC",2020-11-26,64
"icu","BC",2020-11-27,69
"icu","BC",2020-11-28,69
"icu","BC",2020-11-29,69
"icu","BC",2020-11-30,75
"icu","BC",2020-12-01,76
"icu","BC",2020-12-02,79
"icu","BC",2020-12-03,80
"icu","BC",2020-12-04,76
"icu","BC",2020-12-05,76
"icu","BC",2020-12-06,76
"icu","BC",2020-12-07,77
"icu","BC",2020-12-08,74
"icu","BC",2020-12-09,76
"icu","BC",2020-12-10,75
"icu","BC",2020-12-11,87
"icu","BC",2020-12-12,87
"icu","BC",2020-12-13,87
"icu","BC",2020-12-14,87
"icu","BC",2020-12-15,93
"icu","BC",2020-12-16,91
"icu","BC",2020-12-17,93
"icu","BC",2020-12-18,92
"icu","BC",2020-12-19,92
"icu","BC",2020-12-20,92
"icu","BC",2020-12-21,80
"icu","BC",2020-12-22,84
"icu","BC",2020-12-23,80
"icu","BC",2020-12-24,78
"icu","BC",2020-12-25,78
"icu","BC",2020-12-26,78
"icu","BC",2020-12-27,78
"icu","BC",2020-12-28,78
"icu","BC",2020-12-29,80
"icu","BC",2020-12-30,77
"icu","BC",2020-12-31,76
"icu","BC",2021-01-01,76
"icu","BC",2021-01-02,76
"icu","BC",2021-01-03,76
"icu","BC",2021-01-04,76
"icu","BC",2021-01-05,77
"icu","BC",2021-01-06,78
"icu","BC",2021-01-07,74
"icu","BC",2021-01-08,75
"icu","BC",2021-01-09,75
